id,createdAt,updatedAt,hiddenAt,isTemplate,questionVersionId,setId,number,draftId,publishedVersionId,linkQuestionId,displayFinalAnswer,displayStructuredTutorial,displayWorkedSolution
9b5b1a69-381e-45d6-9da7-a47d172340ac,2024-10-14 07:53:19.435,2024-10-14 08:02:53.489,,False,,bd4d1b37-a074-4a8b-ae96-554a947bf30d,1,,b1095d0b-466c-4792-9b55-d8fed0ed9e9a,,True,True,True
c58be117-ba5d-4e5f-bf87-4cb6fc222e2c,2024-10-14 07:33:49.964,2024-10-14 08:03:00.202,,False,,bd4d1b37-a074-4a8b-ae96-554a947bf30d,2,398f9719-c66d-4095-9396-6e20f155a95c,a42a139f-138e-4960-ba10-ca0e033a878d,,True,True,True
daea7e0e-6a12-4ef0-aa46-3ea93c335fdd,2024-10-14 07:17:39.682,2024-10-14 08:02:53.489,,False,,bd4d1b37-a074-4a8b-ae96-554a947bf30d,0,644f0a97-a15a-456c-afb0-3970aa377f97,a1eaaa4e-8aae-4773-960a-8c422ae10469,,True,True,True
22e8767d-d86a-42aa-b7c1-479fa65b087d,2024-10-11 10:43:06.417,2024-10-11 11:07:42.035,,False,,87d6ff8a-9d56-4550-83b1-7ff7eded999d,10,,a9971aa8-dd04-4365-880a-a7338ad0da36,,True,True,True
04c1f30d-ba6c-43e7-82c6-6e8a0373829b,2024-10-11 09:49:57.793,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,11,8f6889f5-3d94-4c64-9b5b-63000cc0e965,,,True,True,True
587b045d-bf63-472a-970d-9b36b81994ee,2024-10-11 09:49:57.654,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,10,a78b9a2f-358a-4e2f-a432-752858bdb4d1,,,True,True,True
887e5064-fce6-401b-9512-0a0aa9564a03,2024-10-11 09:49:57.531,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,9,e31e1ea2-c509-449f-b263-c05e76764cb7,,,True,True,True
e83eef5b-12b3-4e15-a320-93d6a2d7dc4d,2024-10-11 09:49:57.324,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,8,07811783-19b9-4992-8a0c-d71ea8f02bf2,,,True,True,True
d700af03-648f-4947-9e27-3d73af747f5c,2024-10-11 09:26:55.972,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,7,,7e1170f6-7906-45dd-8762-c532ac03da4a,,True,True,True
ea6fb29a-cabc-4762-b4a8-9c05040a6494,2024-10-11 09:26:55.866,2024-10-11 09:49:57.910,,False,,fc45f3ff-41a5-4660-8839-3336e557b213,6,,02e4069d-bdd5-4c4d-a330-1015c4275391,,True,True,True
